ACCOUNT_KEY,ACCOUNT_NUMBER,ACCOUNT_NAME,ACCOUNT_TYPE,ACCOUNT_CATEGORY,PARENT_ACCOUNT,PRODUCT_CATEGORY,INVENTORY_TYPE,ASSET_LIABILITY_FLAG,COST_CENTER,PROFIT_CENTER,REGION,COUNTRY,TAX_CODE,GST_RATE,ACCOUNT_STATUS,CREATED_DATE,UPDATED_DATE,ACCOUNT_LEVEL,SUB_ACCOUNT,COMMENTS,CREATED_BY,UPDATED_BY,LOAD_DATE,SOURCE_SYSTEM,OPEN_DATE,CLOSE_DATE,REPORTING_GROUP,RECORD_STATUS,GOLD_CARAT
1,1001001,cash on hand,Asset,Current Asset,1001000,Antique Jewellery,,A,CC-TIFFANY_NY,PC-CARTIER_PARIS,Europe,Singapore,TC609,3,Inactive,2020-12-01,2021-01-01,1,SUB-1001001-7,Perferendis dolore dicta ad doloribus.,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
2,1001011,Cash on Hand,Asset,Current Asset,1001000,Platinum Jewellery,Gold,A,CC-TIFFANY_NY,PC-CARTIER_PARIS,,France,TC920,3,ACTIVE,2020-12-01,2021-01-01,5,,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
3,1001021,Cash on Hand,Asset,Current Asset,1001000,,Diamond,A,CC-CARTIER_PARIS,PC-HOJ_RIYADH,,Singapore,TC496,3,Active,2020-12-01,2021-01-01,4,SUB-1001021-4,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,
4,1001031,Cash on Hand,Asset,Current Asset,1001000,Antique Jewellery,Silver,A,CC-HOJ_SYDNEY,PC-HOJ_RIYADH,Asia Pacific,Australia,TC305,3,ACTIVE,2020-12-01,,5,SUB-1001031-6,Dolor rem possimus iure nam totam.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,,Balance Sheet,ACTIVE,
5,1001002,Bank Account - Current,Asset,Current Asset,1001000,Antique Jewellery,Diamond,A,CC-HOJ_LONDON,PC-HOJ_SYDNEY,Asia Pacific,Singapore,TC232,3,Active,2020-12-01,2021-01-01,3,,Itaque reiciendis pariatur voluptates.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,Active,
6,1001012,Bank Account - Current,Asset,Current Asset,1001000,Silver Jewellery,Gold,A,CC-HOJ_SINGAPORE,PC-HOJ_TORONTO,North America,Canada,,3,Active,2020-12-01,2021-01-01,5,SUB-1001012-5,Et quidem ipsam repellendus tempora incidunt tenetur ipsum.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,,Cash Flow,active,
7,1001022,Bank Account - Current,Asset,Current Asset,1001000,Wedding Collection,,A,CC-DUBAI_GOLD,PC-CARTIER_PARIS,Middle East,Singapore,TC835,3,Inactive,2020-12-01,2021-01-01,3,SUB-1001022-9,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
8,1001032,Bank Account - Current,Asset,Current Asset,1001000,Antique Jewellery,Silver,A,CC-TIFFANY_NY,PC-HOJ_SINGAPORE,Asia Pacific,Saudi Arabia,TC192,3,active,2020-12-01,2021-01-01,3,,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
9,1002001,Accounts Receivable,Asset,Current Asset,1002000,,Gold,A,CC-HOJ_DOHA,,Asia Pacific,Australia,TC738,3,Active,2020-12-01,2021-01-01,3,SUB-1002001-6,,admin,,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
10,1002011,Accounts Receivable,Asset,Current Asset,1002000,,,A,CC-HOJ_TORONTO,PC-CARTIER_PARIS,Middle East,Australia,TC645,3,Inactive,2020-12-01,,3,SUB-1002011-2,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
11,1002021,Accounts Receivable,Asset,Current Asset,1002000,Diamond Jewellery,,A,CC-HOJ_SYDNEY,PC-HOJ_TORONTO,Europe,,,3,Active,2020-12-01,2021-01-01,4,SUB-1002021-4,Rerum harum quo veniam accusantium.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,active,
12,1002031,Accounts Receivable,Asset,Current Asset,1002000,Gemstone Jewellery,Diamond,A,CC-HOJ_SYDNEY,PC-TIFFANY_NY,Middle East,Qatar,TC385,3,ACTIVE,2020-12-01,2021-01-01,3,SUB-1002031-4,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
13,1003001,Gold Inventory,Asset,Inventory,1003000,Antique Jewellery,,A,CC-HOJ_RIYADH,PC-HOJ_LONDON,Asia Pacific,Hong Kong,TC947,3,Inactive,2020-12-01,2021-01-01,5,,Reiciendis tempore laborum earum laborum harum pariatur.,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,24.0
14,1003011,Gold Inventory,Asset,Inventory,,Gemstone Jewellery,Diamond,A,CC-HOJ_HK,PC-HOJ_DOHA,Middle East,UAE,TC191,3,ACTIVE,2020-12-01,2021-01-01,1,SUB-1003011-3,Quam saepe ullam voluptatem modi tenetur.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,Active,24.0
15,1003021,GOLD INVENTORY,Asset,Inventory,1003000,,,A,CC-HOJ_SINGAPORE,PC-HOJ_HK,Europe,Hong Kong,,3,Inactive,2020-12-01,2021-01-01,2,SUB-1003021-3,Natus ad odit consequatur iure amet fugiat distinctio.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,24.0
16,1003031,Gold Inventory,Asset,Inventory,1003000,Silver Jewellery,Mixed,A,CC-TIFFANY_NY,,North America,UAE,TC576,3,active,2020-12-01,2021-01-01,3,SUB-1003031-2,Excepturi sunt eius veritatis in rerum.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,18.0
17,1003002,Diamond Inventory,Asset,Inventory,1003000,Gemstone Jewellery,,A,CC-HOJ_DOHA,PC-HOJ_TORONTO,Europe,Australia,TC179,3,Active,2020-12-01,2021-01-01,5,SUB-1003002-4,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
18,1003012,Diamond Inventory,Asset,Inventory,1003000,Gold Jewellery,,A,,PC-HOJ_HK,Middle East,France,TC103,3,Active,2020-12-01,2021-01-01,1,SUB-1003012-9,Veniam dicta accusantium.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,ACTIVE,
19,1003022,Diamond Inventory,Asset,Inventory,1003000,Platinum Jewellery,Mixed,A,CC-CARTIER_PARIS,PC-HOJ_SYDNEY,North America,Australia,TC230,3,ACTIVE,2020-12-01,2021-01-01,3,SUB-1003022-8,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,ACTIVE,
20,1003032,Diamond Inventory,Asset,Inventory,1003000,Gold Jewellery,Mixed,A,CC-DUBAI_GOLD,PC-HOJ_LONDON,Middle East,UAE,TC145,3,ACTIVE,2020-12-01,2021-01-01,1,SUB-1003032-3,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
21,1003003,Silver Inventory,Asset,Inventory,1003000,Platinum Jewellery,Gold,A,CC-HOJ_TORONTO,PC-HOJ_SINGAPORE,Europe,UAE,TC758,3,Inactive,2020-12-01,2021-01-01,3,,,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
22,1003013,Silver Inventory,Asset,Inventory,1003000,Gemstone Jewellery,,A,CC-HOJ_DOHA,PC-HOJ_LONDON,,,TC486,3,Active,2020-12-01,2021-01-01,5,,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
23,1003023,Silver Inventory,Asset,Inventory,1003000,Diamond Jewellery,,A,CC-HOJ_DOHA,PC-HOJ_RIYADH,Asia Pacific,Saudi Arabia,TC625,3,active,2020-12-01,2021-01-01,4,SUB-1003023-6,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
24,1003033,Silver Inventory,Asset,Inventory,1003000,,,A,CC-HOJ_TORONTO,PC-HOJ_HK,North America,Hong Kong,TC757,3,active,2020-12-01,2021-01-01,2,SUB-1003033-3,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
25,1003004,  Platinum Inventory   ,Asset,Inventory,,Gold Jewellery,,A,,PC-HOJ_SYDNEY,Middle East,Canada,TC775,3,Active,2020-12-01,2021-01-01,1,SUB-1003004-9,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
26,1003014,Platinum Inventory,Asset,Inventory,,,,A,CC-TIFFANY_NY,,Europe,Qatar,TC331,3,Active,2020-12-01,2021-01-01,1,SUB-1003014-2,,sys_user,,2026-06-17,GitHub,2021-01-01,,P&L,Active,
27,1003024,Platinum Inventory,Asset,Inventory,1003000,Antique Jewellery,,A,CC-HOJ_DOHA,PC-HOJ_TORONTO,Middle East,Saudi Arabia,TC677,3,ACTIVE,2020-12-01,2021-01-01,2,SUB-1003024-3,Eaque sequi rerum assumenda sunt doloribus iure nostrum.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
28,1003034,Platinum Inventory,Asset,Inventory,1003000,Platinum Jewellery,Diamond,A,CC-HOJ_LONDON,,Europe,UK,TC887,3,active,2020-12-01,2021-01-01,3,SUB-1003034-8,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
29,1003005,Gemstone Inventory,Asset,Inventory,1003000,,Mixed,A,CC-HOJ_SINGAPORE,PC-TIFFANY_NY,,Saudi Arabia,TC879,3,ACTIVE,2020-12-01,2021-01-01,5,SUB-1003005-9,,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,,Cash Flow,ACTIVE,
30,1003015,GEMSTONE INVENTORY,Asset,Inventory,1003000,Wedding Collection,Diamond,A,CC-HOJ_SINGAPORE,PC-HOJ_SINGAPORE,Middle East,,TC545,3,Inactive,2020-12-01,2021-01-01,3,SUB-1003015-4,,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,Active,
31,1003025,Gemstone Inventory,Asset,Inventory,1003000,Silver Jewellery,Mixed,A,CC-HOJ_TORONTO,PC-TIFFANY_NY,Middle East,Singapore,TC426,3,active,2020-12-01,2021-01-01,3,,Officia laudantium recusandae at dolore porro esse.,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,active,
32,1003035,Gemstone Inventory,ASSET,Inventory,1003000,,Silver,A,CC-HOJ_LONDON,PC-CARTIER_PARIS,Asia Pacific,Qatar,TC257,3,active,2020-12-01,2021-01-01,4,SUB-1003035-7,Fuga mollitia exercitationem voluptatum mollitia explicabo iste esse.,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,,Balance Sheet,active,
33,1004001,Furniture & Fixtures,Asset,Fixed Asset,,,,A,,PC-CARTIER_PARIS,North America,France,TC200,3,ACTIVE,2020-12-01,2021-01-01,5,,Blanditiis deserunt blanditiis modi quis.,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
34,1004011,Furniture & Fixtures,Asset,Fixed Asset,1004000,,,A,CC-HOJ_LONDON,PC-HOJ_HK,,,TC451,3,ACTIVE,2020-12-01,2021-01-01,5,SUB-1004011-3,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
35,1004021,Furniture & Fixtures,Asset,Fixed Asset,,Gemstone Jewellery,Mixed,A,,PC-HOJ_DOHA,Europe,Australia,,3,Active,2020-12-01,2021-01-01,5,SUB-1004021-6,Nisi voluptatem rerum eos facere esse provident.,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
36,1004031,Furniture & Fixtures,Asset,Fixed Asset,1004000,,,A,CC-HOJ_DOHA,PC-HOJ_SINGAPORE,Asia Pacific,France,TC688,3,ACTIVE,2020-12-01,2021-01-01,2,,,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,
37,1004002,Display Equipment,Asset,Fixed Asset,1004000,Gemstone Jewellery,Mixed,A,CC-HOJ_HK,PC-HOJ_HK,Europe,Qatar,TC381,3,Inactive,2020-12-01,2021-01-01,4,SUB-1004002-9,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
38,1004012,display equipment,Asset,Fixed Asset,1004000,,,A,CC-DUBAI_GOLD,PC-TIFFANY_NY,Europe,UK,TC342,3,Inactive,2020-12-01,2021-01-01,4,SUB-1004012-3,Iusto ipsam delectus amet velit.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
39,1004022,Display Equipment,Asset,Fixed Asset,1004000,,,A,CC-HOJ_LONDON,PC-CARTIER_PARIS,Middle East,Singapore,TC235,3,Inactive,2020-12-01,2021-01-01,4,,Beatae aperiam laudantium neque placeat corrupti repellat.,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
40,1004032,Display Equipment,Asset,Fixed Asset,1004000,Platinum Jewellery,Silver,A,CC-HOJ_LONDON,PC-HOJ_HK,North America,Australia,TC539,3,active,2020-12-01,2021-01-01,3,SUB-1004032-9,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
41,1004003,Store Leasehold Improvements,Asset,Fixed Asset,1004000,,,A,CC-CARTIER_PARIS,PC-HOJ_SINGAPORE,Middle East,,TC469,3,Inactive,2020-12-01,2021-01-01,1,SUB-1004003-7,Dolorem minima ipsum ipsam similique voluptatibus esse numquam.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,,P&L,Active,
42,1004013,  Store Leasehold Improvements   ,Asset,Fixed Asset,1004000,,Silver,A,CC-CARTIER_PARIS,,,UK,TC476,3,ACTIVE,2020-12-01,2021-01-01,2,,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
43,1004023,Store Leasehold Improvements,Asset,Fixed Asset,1004000,,,A,CC-HOJ_LONDON,PC-CARTIER_PARIS,Europe,Singapore,,3,Inactive,2020-12-01,2021-01-01,3,SUB-1004023-4,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,
44,1004033,Store Leasehold Improvements,Asset,Fixed Asset,,Gold Jewellery,,A,CC-HOJ_TORONTO,PC-HOJ_SYDNEY,Asia Pacific,,,3,ACTIVE,2020-12-01,2021-01-01,4,,Enim eligendi similique architecto doloremque.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,active,
45,2001001,Accounts Payable,Liability,Current Liability,2001000,Diamond Jewellery,Diamond,L,CC-CARTIER_PARIS,PC-HOJ_LONDON,Europe,,TC188,18,Active,2020-12-01,2021-01-01,3,,Ratione numquam optio ut incidunt.,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
46,2001011,Accounts Payable,Liability,Current Liability,2001000,Antique Jewellery,Gold,L,CC-DUBAI_GOLD,PC-CARTIER_PARIS,Europe,Canada,TC608,18,Inactive,2020-12-01,2021-01-01,2,,Dolore corrupti eaque consequuntur animi recusandae nisi.,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,active,
47,2001021,Accounts Payable,Liability,Current Liability,2001000,Platinum Jewellery,Diamond,L,CC-DUBAI_GOLD,PC-CARTIER_PARIS,Middle East,USA,TC179,0,Active,2020-12-01,2021-01-01,2,SUB-2001021-4,Ullam ipsa iusto esse illo earum molestiae.,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,ACTIVE,
48,2001031,Accounts Payable,Liability,Current Liability,2001000,Antique Jewellery,,L,CC-TIFFANY_NY,PC-HOJ_HK,Middle East,Australia,,5,active,2021-13-01,2021-01-01,1,,Aspernatur aliquam inventore eum dolorum at.,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
49,2001002,gst payable,Liability,Tax Liability,2001000,,Diamond,L,CC-HOJ_SYDNEY,PC-TIFFANY_NY,Europe,Australia,TC939,12,Active,2020-12-01,2021-01-01,2,,,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,ACTIVE,
50,2001012,GST Payable,Liability,Tax Liability,2001000,,Diamond,L,CC-TIFFANY_NY,PC-HOJ_SYDNEY,Middle East,Hong Kong,,5,Inactive,2020-12-01,2021-01-01,1,SUB-2001012-4,,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
51,2001022,GST Payable,Liability,Tax Liability,,Platinum Jewellery,,L,,PC-HOJ_LONDON,Asia Pacific,UAE,,0,active,2020-12-01,2021-01-01,1,SUB-2001022-5,,admin,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
52,2001032,GST Payable,liability,Tax Liability,2001000,Platinum Jewellery,Mixed,L,CC-CARTIER_PARIS,PC-HOJ_SINGAPORE,Asia Pacific,Hong Kong,TC135,5,ACTIVE,2020-12-01,2021-01-01,5,,,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
53,2001003,TCS Payable,Liability,Tax Liability,2001000,Gemstone Jewellery,Silver,L,CC-HOJ_SYDNEY,PC-HOJ_RIYADH,North America,UAE,TC897,18,active,2020-12-01,2021-01-01,2,,Sint repudiandae a sit iure amet.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
